tprName,tprToken,RowID,AccountID,GeneratorID,GenerationLevel,PreviousMeterReading,CurrentMeterReading,CurrentMeterReadingDate,NetGeneration,MonthYearGeneration,MeterID,PreviousMeterReading,CurrentMeterReading,NetGeneration,,
SLWEB,0EEDB49B-EC87-498A-9D57-C80FD6AB3848,1,35158,278542,K,6334,6734,2021-01-31,400,012021,1,6334,6734,400,,12021
SLWEB,0EEDB49B-EC87-498A-9D57-C80FD6AB3848,2,54450,319803,K,6659,7059,2021-01-31,400,012021,1,6659,7059,400,,12021
SLWEB,0EEDB49B-EC87-498A-9D57-C80FD6AB3848,3,54920,320091,K,18610,19010,2021-01-31,400,012021,1,18610,19010,400,,12021
SLWEB,0EEDB49B-EC87-498A-9D57-C80FD6AB3848,4,16645,280723,K,13372,13772,2021-01-31,400,012021,1,13372,13772,400,,12021
SLWEB,0EEDB49B-EC87-498A-9D57-C80FD6AB3848,5,35158,248153,K,24791,25191,2021-01-31,400,012021,2,24791,25191,400,,12021
SLWEB,0EEDB49B-EC87-498A-9D57-C80FD6AB3848,6,35158,258476,K,29175,29575,2021-01-31,400,012021,3,29175,29575,400,,12021
